Noun	Item	Region	Condition	Surprisal	SurprisalReweighted	ThatFraction	ThatFractionReweighted	SurprisalsWithThat	SurprisalsWithoutThat	Word
exp.b.1	was	6.194	5.347	The insinuation that the teacher failed the student was only a malicious smear.	[(0.254, 'the'), (0.397, 'insinuation'), (0.301, 'that'), (0.198, 'the'), (0.479, 'teacher'), (0.943, 'failed'), (0.949, 'the'), (1.0, 'student'), (0.017, 'was')]
exp.d.1	was	7.61	6.718	The insinuation that the teacher who the principal who excelled in leadership liked failed the student was only a malicious smear.	[(0.21, 'the'), (0.238, 'insinuation'), (0.213, 'that'), (0.24, 'the'), (0.295, 'teacher'), (0.087, 'who'), (0.201, 'the'), (0.075, 'principal'), (0.858, 'who'), (0.988, 'excelled'), (0.191, 'in'), (0.199, 'leadership'), (0.355, 'liked'), (0.943, 'failed'), (0.949, 'the'), (1.0, 'student'), (0.017, 'was')]
exp.a.1	was	5.416	5.349	The insinuation was only a malicious smear.	[(0.949, 'the'), (0.983, 'insinuation'), (0.017, 'was')]
exp.c.1	was	6.116	5.648	The insinuation that the teacher who the principal liked failed the student was only a malicious smear.	[(0.258, 'the'), (0.211, 'insinuation'), (0.709, 'that'), (0.436, 'the'), (0.149, 'teacher'), (0.973, 'who'), (0.458, 'the'), (0.167, 'principal'), (0.355, 'liked'), (0.943, 'failed'), (0.949, 'the'), (1.0, 'student'), (0.017, 'was')]
exp.c.2	seemed	10.061	9.013	The certainty that the doctor who the colleague mistrusted cured the patients seemed hard to believe.	[(0.258, 'the'), (0.1, 'certainty'), (0.709, 'that'), (0.436, 'the'), (0.019, 'doctor'), (0.973, 'who'), (0.458, 'the'), (0.101, 'colleague'), (0.307, 'mistrusted'), (0.961, 'cured'), (0.949, 'the'), (1.0, 'patients'), (0.001, 'seemed')]
exp.b.2	seemed	10.394	9.709	The certainty that the doctor cured the patients seemed hard to believe.	[(0.254, 'the'), (0.964, 'certainty'), (0.301, 'that'), (0.198, 'the'), (0.387, 'doctor'), (0.961, 'cured'), (0.949, 'the'), (1.0, 'patients'), (0.001, 'seemed')]
exp.a.2	seemed	10.373	10.304	The certainty seemed hard to believe.	[(0.949, 'the'), (1.0, 'certainty'), (0.001, 'seemed')]
exp.d.2	seemed	10.95	10.507	The certainty that the doctor who the colleague who discovered new therapies mistrusted cured the patients seemed hard to believe.	[(0.21, 'the'), (0.111, 'certainty'), (0.213, 'that'), (0.24, 'the'), (0.066, 'doctor'), (0.087, 'who'), (0.201, 'the'), (0.095, 'colleague'), (0.858, 'who'), (0.944, 'discovered'), (0.684, 'new'), (0.09, 'therapies'), (0.307, 'mistrusted'), (0.961, 'cured'), (0.949, 'the'), (1.0, 'patients'), (0.001, 'seemed')]
exp.b.3	was	8.568	8.264	The understanding that the president appointed the commander was entirely bogus.	[(0.254, 'the'), (0.966, 'understanding'), (0.301, 'that'), (0.198, 'the'), (0.547, 'president'), (0.954, 'appointed'), (0.949, 'the'), (1.0, 'commander'), (0.017, 'was')]
exp.d.3	was	8.489	8.047	The understanding that the president who the farmer who implemented agricultural policies admired appointed the commander was entirely bogus.	[(0.21, 'the'), (0.102, 'understanding'), (0.213, 'that'), (0.24, 'the'), (0.21, 'president'), (0.087, 'who'), (0.201, 'the'), (0.042, 'farmer'), (0.858, 'who'), (0.973, 'implemented'), (0.601, 'agricultural'), (0.118, 'policies'), (0.438, 'admired'), (0.954, 'appointed'), (0.949, 'the'), (1.0, 'commander'), (0.017, 'was')]
exp.c.3	was	7.88	7.284	The understanding that the president who the farmer admired appointed the commander was entirely bogus.	[(0.258, 'the'), (0.094, 'understanding'), (0.709, 'that'), (0.436, 'the'), (0.184, 'president'), (0.973, 'who'), (0.458, 'the'), (0.078, 'farmer'), (0.438, 'admired'), (0.954, 'appointed'), (0.949, 'the'), (1.0, 'commander'), (0.017, 'was')]
exp.a.3	was	6.387	6.387	The understanding was entirely bogus.	[(0.949, 'the'), (1.0, 'understanding'), (0.017, 'was')]
exp.b.4	appeared	12.323	11.709	The guess that the victim sued the criminal appeared on TV.	[(0.254, 'the'), (0.979, 'guess'), (0.301, 'that'), (0.198, 'the'), (0.232, 'victim'), (0.881, 'sued'), (0.949, 'the'), (1.0, 'criminal'), (0.001, 'appeared')]
exp.c.4	appeared	11.112	9.97	The guess that the victim who the swimmer rescued sued the criminal appeared on TV.	[(0.258, 'the'), (0.072, 'guess'), (0.709, 'that'), (0.436, 'the'), (0.129, 'victim'), (0.973, 'who'), (0.458, 'the'), (0.348, 'swimmer'), (0.233, 'rescued'), (0.881, 'sued'), (0.949, 'the'), (1.0, 'criminal'), (0.001, 'appeared')]
exp.d.4	appeared	13.513	12.118	The guess that the victim who the swimmer who administered first aid rescued sued the criminal appeared on TV.	[(0.21, 'the'), (0.065, 'guess'), (0.213, 'that'), (0.24, 'the'), (0.117, 'victim'), (0.087, 'who'), (0.201, 'the'), (0.062, 'swimmer'), (0.858, 'who'), (0.966, 'administered'), (0.58, 'first'), (0.177, 'aid'), (0.233, 'rescued'), (0.881, 'sued'), (0.949, 'the'), (1.0, 'criminal'), (0.001, 'appeared')]
exp.a.4	appeared	9.558	9.253	The guess appeared on TV.	[(0.949, 'the'), (1.0, 'guess'), (0.001, 'appeared')]
exp.d.5	drove	12.078	11.916	The conviction that the guest who the cousin who taught yoga invited visited the uncle drove Jill crazy.	[(0.303, 'the'), (0.037, 'conviction'), (0.134, 'that'), (0.258, 'the'), (0.051, 'guest'), (0.389, 'who'), (0.436, 'the'), (0.034, 'cousin'), (0.973, 'who'), (0.095, 'taught'), (0.536, 'yoga'), (0.309, 'invited'), (0.925, 'visited'), (0.949, 'the'), (1.0, 'uncle'), (0.001, 'drove')]
